Date,RMS P.O,Part Received,Vendor,Promise date,Notes,Vendor Contact,Recieved Date,Carrier,Trackin/Pro#,L,W,H,Weight,Inbound Shipping Charges,Date,Customer,Customer P.O,RMS Invoice #,Ship To,Line #,HS code,Shipped,Invoice Status,L,W,H,Weight,Carrier,Tracking/ Pro#,Crating/ Handling charges,Ship out Charges,Customer contact,Notes
3-Feb-23,9345,"VALVE, BALL - MANUAL",NECI,5/4/2023,,CMurphy@neci.com,,UPS,,,,,,,2/3/2023,Jords,108650,,"CONTACT JORD ENERGY FOR
SHIPPPING INSTRUCTIONS
GE ENERGY PARTS. INC",1,,5/8/2023,,,,,,,,,,,
3-Feb-23,9346,"VALVE, ISOLATION",NCI,6/12/2023,NCI will ship it directly to customer. Shipping out 6/30/23,CMurphy@neci.com,,FedEX,656307530031,,,,,,2/3/2023,Jords,108531-1,,NCI will ship it directly to customer,1,,NCI shipped it directly to customer 6/30/23,,,,,,,,,,,
3-Feb-23,9347,BALL VALVE,FCX,6/1/2023,,esibincic@fcxperformance.com,,UPS,1Z5811460332204029,,,,,,2/3/2023,Jords,108609,,Contact ECI,all,,5/12/2023,,,,,,UPS,1Z2Y36Y30391212908,,,,
25-Feb-23,9348,BALL VALVES,NCI,,5/3/2023 with Conor for engineering,CMurphy@neci.com,,,,,,,,,2/13/2023,Jords,108588,,Contact ECI,all,,6/21/2023,,,,,,,,,,,
26-Jun-23,9349,GASKET,Buffalo,7/17/2023,,nschultz@buffalopumps.com,,UPS,,,,,,,2/16/2023,GE,42300075958,,GE Energy Parts. ATLANTA,all,,"07/11/2023 Fedex 772695813316
07/10/2023 Fedex 772695961159",,,,,,Fedex,772695961159,,,,
25-Feb-23,9350,TRIAC MANUAL FIRE SAFE BALL VALVE,Aci Controls,,"Delivered to ECI CERRITOS, CA, US on 05/30/2023",ssmith@aci-controls.com,,UPS,1Z2Y36Y30394003521,,,,,,2/22/2023,Jords,108710,,Contact ECI,1,,5/30/2023,,,,,,UPS,1Z2Y36Y30394003521,,,,
,9351,VENTILATION FAN,Newark,,Paperwork Lost,custserv@newark.com,,,,,,,,,2/9/2023,GE,42300075455,,GE Energy Parts. ATLANTA,1,,Paperwork Lost,,,,,,,,,,,Paperwork lost
2-Mar-23,9352,FILTER ELEMENT 005-1447P0001,Service Process Equipment,Processed by Raj.,,msellers@serviceprocess.net,,,,,,,,,2/22/2023,GE,42300078250,,GE Energy Parts. ATLANTA,1,,5/1/2024,,6,6,6,1LB,FedEx,776189017636,,,,
25-Feb-23,9353,HYDRAULIC PUMP,Hydradyne,4 weeks,Shipped 5/23/2023,Aleksy@cmafh.com,,UPS,,,,,,,2/28/2023,Jords,108732,,Contact ECI. Order to be shipped to YMD,1,,Already shipped,,,,,,,,,,,Already shipped
21-Mar-23,9354,HYDRAULIC MOTOR FOR PUMP,Steiner,3/29/2023,cancelled gave to Joilet eq,bnelson@stnr.com,,UPS,,,,,,,2/28/2023,Jords,108732,,Contact ECI. Order to be shipped to YMD,,,Already shipped,,,,,,,,,,,Already shipped
5/8/2023. Sent 05/08/2023,9397,HYDRAULIC MOTOR FOR PUMP,Joliet Equipment,14 – 18 days,Motors are available and would take 14 – 18 days for modifications to be completed.,jbrand@jolietelectricmotors.com,,UPS,,,,,,,2/28/2023,Jords,108732,,Contact ECI. Order to be shipped to YMD,2,,Already shipped,,,,,,,,,,,Already shipped
20-Mar-23,9355-1,PUMP/MOTOR ASSEMBLY HARDWARE,BSF Inc.,4/7/2023,,billw@bsfinc.net,,UPS,1Z4866030364261627,,,,,,2/28/2023,Jords,108732,,Contact ECI. Order to be shipped to YMD,3,,Already shipped,,,,,,,,,,,Already shipped
